"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,25.09.2020,08:01:00,107.45,108.67,107.25,108.52,212714
AAPL,NASDAQ,25.09.2020,16:17:00,112.5,112.57,112.5,112.5,48354
AAPL,NASDAQ,28.09.2020,10:10:00,113.095,113.1,112.78,112.92,573655
AAPL,NASDAQ,28.09.2020,08:07:00,115.47,115.5,115.39,115.43,24008
AAPL,NASDAQ,29.09.2020,10:47:00,113.68,113.73,113.57,113.71,361001
AAPL,NASDAQ,29.09.2020,09:36:00,115.05,115.31,115.04,115.1,443320
AAPL,NASDAQ,30.09.2020,08:01:00,113.49,114.37,113.08,113.1,189519
AAPL,NASDAQ,30.09.2020,14:23:00,117.15,117.26,117.13,117.219,258104
AAPL,NASDAQ,01.10.2020,12:17:00,116.08,116.09,115.83,115.95,375765
AAPL,NASDAQ,01.10.2020,08:45:00,118,118.1,117.95,118.05,29183
AAPL,NASDAQ,02.10.2020,09:31:00,112.84,113.58,112.22,113.58,4158577
AAPL,NASDAQ,02.10.2020,08:01:00,112.96,117.08,112.79,113.03,588053
AAPL,NASDAQ,05.10.2020,08:01:00,114,114.5,113.3,113.99,286050
AAPL,NASDAQ,05.10.2020,16:01:00,116.55,116.66,116.4,116.45,6289747
AAPL,NASDAQ,06.10.2020,15:08:00,112.89,112.93,112.25,112.4,1096835
AAPL,NASDAQ,06.10.2020,08:01:00,115.84,116.79,115.56,115.86,118577
AAPL,NASDAQ,07.10.2020,09:10:00,114.59,114.63,113.134,114.57,6610
AAPL,NASDAQ,07.10.2020,13:45:00,115.26,115.55,115.26,115.405,507497
AAPL,NASDAQ,08.10.2020,14:03:00,114.61,114.66,114.59,114.649,145574
AAPL,NASDAQ,08.10.2020,08:02:00,116.21,116.5,116.2,116.22,26878
AAPL,NASDAQ,09.10.2020,09:33:00,115.065,115.12,114.92,115.118,584129
AAPL,NASDAQ,09.10.2020,18:28:00,117.74,117.8,117.73,117.8,13889
AAPL,NASDAQ,12.10.2020,08:01:00,120.36,120.84,117.26,120.8,463167
AAPL,NASDAQ,12.10.2020,14:25:00,125.05,125.18,125.04,125.152,613474
AAPL,NASDAQ,13.10.2020,13:58:00,120.57,120.72,119.65,119.855,2541655
AAPL,NASDAQ,13.10.2020,08:01:00,125.9,126.6,125.3,126.24,703957
AAPL,NASDAQ,14.10.2020,13:35:00,119.817,119.87,119.62,119.72,598090
AAPL,NASDAQ,14.10.2020,09:48:00,122.837,123.03,122.83,122.989,975378
AAPL,NASDAQ,15.10.2020,09:31:00,118.75,119.29,118.15,119.2,2824580
AAPL,NASDAQ,15.10.2020,08:03:00,118.69,121.49,118.67,118.76,5759
